genre,tag_id
cologne hip hop,511
groove,512
hammond,513
flute,514
drums,515
swedish psychedelic,516
swedish rock,517
pystrance,518
goa,519
turkish,520
turkish indie,521
chile,522
quiet,523
fusion,524
ethiopia,525
somalia,526
ambient idm,527
polish electronica,528
seen live: 2007,529
electronica cristiana,530
luxembourgian indie,531
vanni,532
damien,533
lesser known yet streamable artists,534
breakcore,535
zouk,536
deathcore,537
death thrash metal,538
afro drill,539
manitoba country,540
electro jazz,541
comptine africaine,542
melodic death metal,543
chileno,544
electro dance,545
groove metal,546
uk contemporary r&b,547
australian r&b,548
musique guadeloupe,549
rap antillais,550
zouk riddim,551
cypriot pop,552
musica tlaxcalteca,553
breakbeats,554
ilg,555
d-dorf,556
luxembourgian hip hop,557
funky disco,558
eesti,559
musicmagpieuk,560
south carolina indie,561
37,562
37700,563
lo-fi chill,564
greek downtempo,565
hhqc,566
rap qc,567
garage rock,568
gabonese pop,569
r&b francais,570
gang of ducks,571
rap moldovenesc,572
musique urbaine brazzaville,573
instrumental acoustic guitar,574
musical,575
rap conscient,576
happy,577
illegal jungle,578
deep house,579
alt. rock,580
indian ambient,581
space ambient,582
laut,583
pop soul,584
classify,585
brest,586
pop-rock-electro,587
brest-meme,588
live gesehen,589
japanese metalcore,590
afrique,591
people,592
gabon,593
psychedelic rock,594
gospel amapiano,595
lgbt,596
sosnowiec,597
pyskaty,598
golda,599
lo-fi sleep,600
calm,601
cloud rap francais,602
ninja tune,603
emocore,604
musica popular amazonense,605
melodic dubstep,606
future bass,607
traprun,608
awesome,609
amazing,610
canadian blues,611
canadian folk,612
world,613
soheill,614
symphonic black metal,615
melodic black metal,616
the offspring,617
ynw,618
dutch pop,619
swing,620
minas gerais,621
auteur-compositeur-interprete quebecois,622
chillsynth,623
post-rock,624
gothic pop,625
romanian pop,626
haiti,627
haitian,628
straight edge,629
hungarian female vocalists,630
a dal 2019,631
polish hip-hop,632
virtua fighter,633
jacking house,634
yael naim,635
naim,636
rap chretien,637
tropical,638
indie folk,639
swedish indie,640
post-metal,641
fremantle indie,642
mbalax,643
senegalese traditional,644
musica andorra,645
pop nacional,646
tech house,647
portugal,648
queen,649
audiogram,650
australian electropop,651
erik strauss,652
dessy grande,653
london,654
ugandan,655
muzyka eksperymentalna,656
burundian pop,657
folk brasileiro,658
nova mpb,659
dark r&b,660
minimal techno,661
avant-rock,662
stoner,663
kmac,664
go4broke,665
post-bop,666
contemporary jazz,667
spain,668
indie electropop,669
jamaica,670
surf,671
garage,672
norway,673
berlin,674
indie veneto,675
bass house,676
quintrala chica,677
danish female vocalists,678
bitch,679
boy pop,680
dark electro,681
harsh ebm,682
native american,683
chicago house,684
musica etnica,685
neocrust,686
dark hardcore,687
kazakhstan,688
uk pop punk,689
not progressive metal,690
poland,691
speedcore,692
hardcore techno,693
deutsch,694
swedish synthpop,695
downbeat,696
greek indie rock,697
new,698
nueva ola,699
electro dub,700
chamber pop,701
australian dance,702
anime lo-fi,703
ethereal,704
check out later,705
uk hip-hop,706
india,707
dutch,708
nederlandstalig,709
nederpop,710
hardtechno,711
hard trance,712
austrian indie,713
austrian pop,714
canadian indie folk,715
frenchmusic,716
melodicpop,717
footwork,718
thailand,719
digicore,720
glitchcore,721
:d,722
party,723
contemporary,724
singer,725
nigeria,726
rapper,727
highlife,728
action rock,729
funeral doom,730
podcast,731
new zealand,732
modern reggae,733
dodgers,734
scotland,735
club,736
cloud rap,737
emo rap,738
vaporwave,739
korean punk,740
lille,741
nord,742
capilar problem,743
shitty,744
teen idol,745
rap montrealais,746
tijuana indie,747
big room,748
brostep,749
dutch edm,750
dirty electro,751
enfance,752
boom bap,753
instrumental hip-hop,754
lebanon,755
arabic,756
lebanese,757
trip rock,758
soul punk,759
bedroom rock,760
baroque pop,761
german singer-songwriter,762
slamming brutal death metal,763
sick brutal deathgrind,764
grindcore,765
arabic music,766
yara,767
narrative,768
weird folk,769
canadian post-rock,770
modern indie folk,771
dj,772
hungary,773
lo-fi hip hop,774
middlebury,775
wrmc,776
faroese indie,777
faroese pop,778
generic music,779
eternos,780
big time rush,781
afro r&b,782
recife,783
pernambuco,784
lithuanian edm,785
heavy dubstep,786
arab trap,787
turkish trap,788
irish,789
irish punk,790
underground hip-hop,791
arab electronic,792
bristol,793
rythmic noise,794
indie hip hop,795
toronto rap,796
turkey,797
nyhc,798
indietronica,799
music i tried but didnt like,800
symphonic power metal,801
stones throw,802
art folk,803
russian disko,804
rap napoletano,805
groove room,806
experimental techno,807
canadian classical piano,808
atb,809
style,810
canadian post-punk,811
luxembourgian electronic,812
melodic techno,813
indie folk italiano,814
punk blues,815
pune indie,816
von angesicht zu angesicht betrachtet,817
super junior,818
shinee,819
exo-k,820
exo-m,821
broken beat,822
goth,823
psychedelic indie,824
modern psychedelic rock,825
singer-songwriter pop,826
dungeon synth,827
comfy synth,828
relaxing,829
urban,830
chill house,831
chinese idol pop,832
french indie folk,833
dub,834
serbian,835
ex-yu,836
balkan,837
macedonian electronic,838
brighton indie,839
electro-industrial,840
not indie,841
latvian rock,842
future bounce,843
new brunswick indie,844
canadian stoner rock,845
uzbek,846
outrun,847
eugenyh,848
